,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
19642,3.2668804565296967,True,2671.0,0.00013053945722567314,0.0001559294849077169,1.25936562003222
19651,23.810769824090123,True,2861.0,0.0009514412940178266,0.00117049551641838,1.2447091201731604
19654,5.12319076785385,True,1567.0,0.00020471472739766046,0.0002708887341885148,1.392226559882642
19655,2.0987420348003707,True,2977.0,8.386246442900866e-05,9.353741989591297e-05,1.235462994158389
19668,24.99424350985459,True,2379.0,0.0009987310600916882,0.0012722659631225002,1.2874257076311695
19695,19.553994881671535,True,1492.0,0.0007813471941849092,0.00107935624238464,1.4045536840283497
19696,121.66606793429648,True,1373.0,0.004861586667237933,0.007041024082652555,1.4272859889469778
19730,16.567637653198812,True,263.0,0.0006620170084391756,0.0013591275338192647,2.09675645934573
19731,15.817810977957278,True,663.0,0.0006320551018124061,0.001027917186142438,1.6633583929356408
19732,16.23633616804174,True,2992.0,0.0006487787168561393,0.0007825846441527792,1.2327124368763867
19744,4.118846411528257,True,575.0,0.0001645826904630487,0.00027976375202804345,1.7187011628047153
19747,3.7883218150902414,True,637.0,0.00015137544214378012,0.00023846737056088001,1.6748222351632533
19751,14.815958981072642,True,435.0,0.0005920226556809974,0.001054917769498302,1.8262818806531704
19766,8.577666945701072,True,1884.0,0.0003427502176017371,0.0004438605579847865,1.347246287041645
19767,5.790418135107018,True,2278.0,0.00023137609426624383,0.0002865154572077839,1.2984205171647163
19775,8.019384030527856,True,2926.0,0.0003204421014356213,0.0003810580923172949,1.239117413315314
19779,26717.551069078014,True,556.0,1.0675917473458743,1.3052106161742705,1.7307890090824332
19780,24.142949643549287,True,1093.0,0.0009647146824722,0.0014303515177910007,1.499622997143294
19783,3.670567375541379,True,2673.0,0.0001466701580572756,0.00017339859182031387,1.2590797592092917
19787,2.6050232624992136,True,1360.0,0.0001040926741188849,0.00013685881924325026,1.430683843890331
19791,17.87332742404362,True,1354.0,0.0007141903390091752,0.0010034996679849932,1.431882949556937
19795,25.91850333849603,True,2497.0,0.0010356630439741085,0.0013085728772522405,1.2759320924878086
19813,4.2451459577670105,True,1558.0,0.00016962942371002204,0.00027349738948444257,1.393927980274317
19834,9.122281027364238,True,2922.0,0.0003645121484601708,0.0004350749159722217,1.239665971924758
19859,7.0827217042930215,True,382.0,0.0002830145330573412,0.0005107276414079483,1.8840002385614052
19871,26.402404137990963,True,803.0,0.0010549989665943804,0.001662571438345396,1.5907744938957376
19898,8.838158563034222,True,1188.0,0.00035315905710198284,0.0005013255223100253,1.4756180568718973
19925,5.982907951312878,True,878.0,0.00023906768765735153,0.0003568617579768407,1.5635242381853967
