001  00147 |Loss: 1.023 | Accuracy: 83.737% 
001  00148 |Loss: 1.022 | Accuracy: 83.763% 
001  00149 |Loss: 1.020 | Accuracy: 83.809% 
001  00150 |Loss: 1.018 | Accuracy: 83.833% 
001  00151 |Loss: 1.017 | Accuracy: 83.878% 
001  00152 |Loss: 1.015 | Accuracy: 83.964% 
001  00153 |Loss: 1.013 | Accuracy: 83.987% 
001  00154 |Loss: 1.012 | Accuracy: 84.050% 
001  00155 |Loss: 1.009 | Accuracy: 84.153% 
001  00156 |Loss: 1.009 | Accuracy: 84.155% 
001  00157 |Loss: 1.008 | Accuracy: 84.176% 
001  00158 |Loss: 1.007 | Accuracy: 84.177% 
001  00159 |Loss: 1.007 | Accuracy: 84.178% 
001  00160 |Loss: 1.006 | Accuracy: 84.238% 
001  00161 |Loss: 1.004 | Accuracy: 84.317% 
001  00162 |Loss: 1.004 | Accuracy: 84.298% 
001  00163 |Loss: 1.004 | Accuracy: 84.298% 
001  00164 |Loss: 1.003 | Accuracy: 84.318% 
001  00165 |Loss: 1.001 | Accuracy: 84.375% 
001  00166 |Loss: 0.999 | Accuracy: 84.450% 
001  00167 |Loss: 0.999 | Accuracy: 84.450% 
001  00168 |Loss: 0.998 | Accuracy: 84.505% 
001  00169 |Loss: 0.996 | Accuracy: 84.578% 
001  00170 |Loss: 0.995 | Accuracy: 84.577% 
001  00171 |Loss: 0.994 | Accuracy: 84.594% 
001  00172 |Loss: 0.994 | Accuracy: 84.611% 
001  00173 |Loss: 0.992 | Accuracy: 84.664% 
001  00174 |Loss: 0.991 | Accuracy: 84.680% 
001  00175 |Loss: 0.990 | Accuracy: 84.714% 
001  00176 |Loss: 0.988 | Accuracy: 84.801% 
001  00177 |Loss: 0.986 | Accuracy: 84.852% 
001  00178 |Loss: 0.985 | Accuracy: 84.884% 
001  00179 |Loss: 0.984 | Accuracy: 84.934% 
001  00180 |Loss: 0.982 | Accuracy: 85.017% 
001  00181 |Loss: 0.980 | Accuracy: 85.048% 
001  00182 |Loss: 0.979 | Accuracy: 85.096% 
001  00183 |Loss: 0.978 | Accuracy: 85.143% 
001  00184 |Loss: 0.977 | Accuracy: 85.156% 
001  00185 |Loss: 0.976 | Accuracy: 85.220% 
001  00186 |Loss: 0.974 | Accuracy: 85.265% 
001  00187 |Loss: 0.974 | Accuracy: 85.277% 
001  00188 |Loss: 0.972 | Accuracy: 85.339% 
001  00189 |Loss: 0.971 | Accuracy: 85.384% 
001  00190 |Loss: 0.969 | Accuracy: 85.444% 
001  00191 |Loss: 0.969 | Accuracy: 85.438% 
001  00192 |Loss: 0.968 | Accuracy: 85.465% 
001  00193 |Loss: 0.967 | Accuracy: 85.492% 
001  00194 |Loss: 0.966 | Accuracy: 85.535% 
001  00195 |Loss: 0.964 | Accuracy: 85.577% 
001  00196 |Loss: 0.963 | Accuracy: 85.619% 
001  00197 |Loss: 0.963 | Accuracy: 85.644% 
001  00198 |Loss: 0.962 | Accuracy: 85.669% 
001  00199 |Loss: 0.961 | Accuracy: 85.710% 
001  00200 |Loss: 0.960 | Accuracy: 85.719% 
001  00201 |Loss: 0.960 | Accuracy: 85.743% 
001  00202 |Loss: 0.959 | Accuracy: 85.767% 
001  00203 |Loss: 0.958 | Accuracy: 85.791% 
001  00204 |Loss: 0.957 | Accuracy: 85.830% 
001  00205 |Loss: 0.955 | Accuracy: 85.869% 
001  00206 |Loss: 0.956 | Accuracy: 85.862% 
001  00207 |Loss: 0.955 | Accuracy: 85.870% 
001  00208 |Loss: 0.954 | Accuracy: 85.862% 
001  00209 |Loss: 0.954 | Accuracy: 85.855% 
001  00210 |Loss: 0.953 | Accuracy: 85.908% 
001  00211 |Loss: 0.952 | Accuracy: 85.915% 
001  00212 |Loss: 0.952 | Accuracy: 85.938% 
001  00213 |Loss: 0.951 | Accuracy: 85.974% 
001  00214 |Loss: 0.950 | Accuracy: 85.996% 
001  00215 |Loss: 0.949 | Accuracy: 86.061% 
001  00216 |Loss: 0.948 | Accuracy: 86.082% 
001  00217 |Loss: 0.947 | Accuracy: 86.074% 
001  00218 |Loss: 0.947 | Accuracy: 86.095% 
001  00219 |Loss: 0.946 | Accuracy: 86.130% 
001  00220 |Loss: 0.944 | Accuracy: 86.193% 
001  00221 |Loss: 0.944 | Accuracy: 86.213% 
001  00222 |Loss: 0.943 | Accuracy: 86.247% 
001  00223 |Loss: 0.943 | Accuracy: 86.281% 
001  00224 |Loss: 0.942 | Accuracy: 86.314% 
001  00225 |Loss: 0.941 | Accuracy: 86.375% 
001  00226 |Loss: 0.940 | Accuracy: 86.421% 
001  00227 |Loss: 0.939 | Accuracy: 86.440% 
001  00228 |Loss: 0.939 | Accuracy: 86.445% 
001  00229 |Loss: 0.938 | Accuracy: 86.477% 
001  00230 |Loss: 0.938 | Accuracy: 86.481% 
001  00231 |Loss: 0.937 | Accuracy: 86.499% 
001  00232 |Loss: 0.936 | Accuracy: 86.517% 
001  00233 |Loss: 0.935 | Accuracy: 86.534% 
001  00234 |Loss: 0.934 | Accuracy: 86.579% 
001  00235 |Loss: 0.933 | Accuracy: 86.596% 
001  00236 |Loss: 0.932 | Accuracy: 86.613% 
001  00237 |Loss: 0.931 | Accuracy: 86.656% 
001  00238 |Loss: 0.930 | Accuracy: 86.673% 
001  00239 |Loss: 0.930 | Accuracy: 86.689% 
001  00240 |Loss: 0.929 | Accuracy: 86.706% 
001  00241 |Loss: 0.929 | Accuracy: 86.735% 
001  00242 |Loss: 0.927 | Accuracy: 86.777% 
001  00243 |Loss: 0.926 | Accuracy: 86.806% 
001  00244 |Loss: 0.926 | Accuracy: 86.796% 
001  00245 |Loss: 0.925 | Accuracy: 86.837% 
001  00246 |Loss: 0.925 | Accuracy: 86.852% 
001  00247 |Loss: 0.923 | Accuracy: 86.905% 
001  00248 |Loss: 0.923 | Accuracy: 86.920% 
001  00249 |Loss: 0.922 | Accuracy: 86.948% 
001  00250 |Loss: 0.921 | Accuracy: 86.987% 
001  00251 |Loss: 0.920 | Accuracy: 87.014% 
001  00252 |Loss: 0.919 | Accuracy: 87.029% 
001  00253 |Loss: 0.918 | Accuracy: 87.068% 
001  00254 |Loss: 0.918 | Accuracy: 87.082% 
001  00255 |Loss: 0.918 | Accuracy: 87.083% 
001  00256 |Loss: 0.917 | Accuracy: 87.122% 
001  00257 |Loss: 0.916 | Accuracy: 87.135% 
001  00258 |Loss: 0.915 | Accuracy: 87.173% 
001  00259 |Loss: 0.915 | Accuracy: 87.186% 
001  00260 |Loss: 0.915 | Accuracy: 87.188% 
001  00261 |Loss: 0.914 | Accuracy: 87.201% 
001  00262 |Loss: 0.914 | Accuracy: 87.202% 
001  00263 |Loss: 0.913 | Accuracy: 87.203% 
001  00264 |Loss: 0.913 | Accuracy: 87.192% 
001  00265 |Loss: 0.912 | Accuracy: 87.229% 
001  00266 |Loss: 0.912 | Accuracy: 87.253% 
001  00267 |Loss: 0.911 | Accuracy: 87.254% 
001  00268 |Loss: 0.911 | Accuracy: 87.243% 
001  00269 |Loss: 0.910 | Accuracy: 87.279% 
001  00270 |Loss: 0.910 | Accuracy: 87.280% 
001  00271 |Loss: 0.910 | Accuracy: 87.292% 
001  00272 |Loss: 0.909 | Accuracy: 87.305% 
001  00273 |Loss: 0.908 | Accuracy: 87.351% 
001  00274 |Loss: 0.908 | Accuracy: 87.352% 
001  00275 |Loss: 0.907 | Accuracy: 87.375% 
001  00276 |Loss: 0.906 | Accuracy: 87.421% 
001  00277 |Loss: 0.907 | Accuracy: 87.398% 
001  00278 |Loss: 0.906 | Accuracy: 87.410% 
001  00279 |Loss: 0.905 | Accuracy: 87.455% 
001  00280 |Loss: 0.905 | Accuracy: 87.455% 
001  00281 |Loss: 0.904 | Accuracy: 87.489% 
001  00282 |Loss: 0.903 | Accuracy: 87.511% 
001  00283 |Loss: 0.902 | Accuracy: 87.555% 
001  00284 |Loss: 0.902 | Accuracy: 87.566% 
001  00285 |Loss: 0.902 | Accuracy: 87.555% 
001  00286 |Loss: 0.902 | Accuracy: 87.576% 
001  00287 |Loss: 0.902 | Accuracy: 87.576% 
001  00288 |Loss: 0.901 | Accuracy: 87.587% 
001  00289 |Loss: 0.900 | Accuracy: 87.619% 
001  00290 |Loss: 0.900 | Accuracy: 87.629% 
001  00291 |Loss: 0.899 | Accuracy: 87.661% 
001  00292 |Loss: 0.898 | Accuracy: 87.671% 
001  00293 |Loss: 0.898 | Accuracy: 87.703% 
001  00294 |Loss: 0.897 | Accuracy: 87.723% 
001  00295 |Loss: 0.897 | Accuracy: 87.754% 
001  00296 |Loss: 0.896 | Accuracy: 87.774% 
001  00297 |Loss: 0.895 | Accuracy: 87.816% 
001  00298 |Loss: 0.895 | Accuracy: 87.815% 
001  00299 |Loss: 0.894 | Accuracy: 87.834% 
001  00300 |Loss: 0.894 | Accuracy: 87.854% 
001  00301 |Loss: 0.893 | Accuracy: 87.874% 
001  00302 |Loss: 0.893 | Accuracy: 87.904% 
001  00303 |Loss: 0.892 | Accuracy: 87.913% 
001  00304 |Loss: 0.891 | Accuracy: 87.932% 
001  00305 |Loss: 0.892 | Accuracy: 87.951% 
001  00306 |Loss: 0.891 | Accuracy: 87.970% 
001  00307 |Loss: 0.890 | Accuracy: 87.999% 
001  00308 |Loss: 0.889 | Accuracy: 88.028% 
001  00309 |Loss: 0.889 | Accuracy: 88.016% 
001  00310 |Loss: 0.889 | Accuracy: 88.044% 
001  00311 |Loss: 0.888 | Accuracy: 88.063% 
001  00312 |Loss: 0.888 | Accuracy: 88.081% 
001  00313 |Loss: 0.888 | Accuracy: 88.079% 
001  00314 |Loss: 0.887 | Accuracy: 88.097% 
001  00315 |Loss: 0.887 | Accuracy: 88.105% 
001  00316 |Loss: 0.886 | Accuracy: 88.123% 
001  00317 |Loss: 0.886 | Accuracy: 88.131% 
001  00318 |Loss: 0.886 | Accuracy: 88.139% 
001  00319 |Loss: 0.885 | Accuracy: 88.156% 
001  00320 |Loss: 0.885 | Accuracy: 88.174% 
001  00321 |Loss: 0.884 | Accuracy: 88.201% 
001  00322 |Loss: 0.883 | Accuracy: 88.208% 
001  00323 |Loss: 0.883 | Accuracy: 88.226% 
001  00324 |Loss: 0.882 | Accuracy: 88.252% 
001  00325 |Loss: 0.882 | Accuracy: 88.279% 
